order_id,product_id,quantity,orders_date
31436,20224,1,05/08/2024
30179,20226,1,07/10/2024
33137,20226,1,03/04/2024
31246,20227,1,02/07/2024
32596,20227,1,09/04/2024
32268,20228,1,08/07/2024
31066,20228,1,07/08/2024
32903,20228,1,08/06/2024
32410,20229,1,05/05/2024
32944,20240,1,10/05/2024
30633,20241,1,09/07/2024
34174,20241,1,06/09/2024
30319,20243,1,04/08/2024
30091,20243,1,09/01/2024
31250,20243,1,09/01/2024
34702,20243,1,04/01/2024
33474,20244,1,09/07/2024
34465,20245,1,07/01/2024
32744,20245,1,01/04/2024
30482,20247,1,01/04/2024
31515,20247,1,09/06/2024
32017,20247,1,06/07/2024
34560,20248,1,03/06/2024
32734,20240,1,03/04/2024
33989,20240,1,05/09/2024
33984,20240,1,08/04/2024
34993,20240,1,04/02/2024
33291,20241,1,09/02/2024
30485,20242,1,01/02/2024
34322,20244,1,07/05/2024
34936,20245,1,10/02/2024
34467,20246,1,07/09/2024
34227,20247,1,07/05/2024
31344,20247,1,07/06/2024
33146,20247,1,10/07/2024
31965,20248,1,08/02/2024
33050,20249,1,04/05/2024
30796,20249,1,10/08/2024
30184,20249,1,09/10/2024
34831,20249,1,03/08/2024
33773,20250,1,01/09/2024
33775,20250,1,08/09/2024
30388,20251,1,09/06/2024
32257,20251,1,05/05/2024
33286,20251,1,05/08/2024
33345,20251,1,02/07/2024
34545,20251,1,02/04/2024
34656,20252,1,04/09/2024
33022,20252,1,09/06/2024
33073,20252,1,04/09/2024
34452,20252,1,10/06/2024
30888,20253,1,07/10/2024
32763,20253,1,08/07/2024
34448,20253,1,06/09/2024
34326,20254,1,07/10/2024
31058,20255,1,01/06/2024
33339,20255,1,10/02/2024
33913,20255,1,02/04/2024
34211,20255,1,09/01/2024
34569,20255,1,03/04/2024
33183,20256,1,02/09/2024
34520,20001,1,07/10/2024
30445,20001,1,06/02/2024
31426,20257,1,09/08/2024
30766,20002,1,04/09/2024
30352,20002,1,03/02/2024
31327,20002,1,08/07/2024
31602,20002,1,04/09/2024
32151,20002,1,07/05/2024
31197,20258,1,03/04/2024
31721,20003,1,06/01/2024
34849,20003,1,08/06/2024
30822,20003,1,06/09/2024
30204,20259,1,07/05/2024
34512,20259,1,09/01/2024
31334,20004,1,02/06/2024
31882,20004,1,01/07/2024
31573,20004,1,02/08/2024
34127,20260,1,02/09/2024
31776,20260,1,02/02/2024
34730,20260,1,09/05/2024
31675,20005,1,10/05/2024
30674,20005,1,01/03/2024
34817,20005,1,07/06/2024
32057,20261,1,07/01/2024
33355,20261,1,10/09/2024
33354,20006,1,04/06/2024
31533,20007,1,10/05/2024
32695,20007,1,07/09/2024
31504,20007,1,02/06/2024
34436,20007,1,08/06/2024
30743,20008,1,01/04/2024
30701,20008,1,08/09/2024
31122,20008,1,04/09/2024
31954,20008,1,10/08/2024
31974,20008,1,07/03/2024
30278,20264,1,02/02/2024
31295,20264,1,01/07/2024
34842,20009,1,09/09/2024
30818,20265,1,08/04/2024
